League,Country,LeagueSlug,WikipediaTitle,Level,RawLevel,Status,Aliases
National Premier Leagues NSW,Australia,National_Premier_Leagues_NSW,National Premier Leagues NSW,2,corrected: NPL = second tier of the Australian pyramid,corrected,NPL NSW
NPL Western Australia,Australia,National_Premier_Leagues_Western_Australia,National Premier Leagues Western Australia,2,corrected: NPL = second tier of the Australian pyramid,corrected,
NPL Queensland,Australia,National_Premier_Leagues_Queensland,National Premier Leagues Queensland,2,corrected: NPL = second tier of the Australian pyramid,corrected,
NPL Victoria,Australia,National_Premier_Leagues_Victoria,National Premier Leagues Victoria,2,corrected: lead: 'second tier within the overall Australian pyramid',corrected,
State League Division 4-South,Australia,Victorian_State_League_Division_4,Victorian State League,5,corrected: low Australian state-league level,corrected,
Veikkausliiga,Finland,Veikkausliiga,Veikkausliiga,1,1,ok,
Primera B Nacional,Paraguay,Paraguayan_Tercera_Divisi%C3%B3n,Paraguayan Tercera División,3,manual: slug -> Paraguayan Tercera Division = Level 3 (name mismatch),manual,
Primera B Metropolitana,Paraguay,Primera_Divisi%C3%B3n_B_Metropolitana,Primera División B Metropolitana,3,3,ok,Primera B
Primera C,Argentina,Primera_C,Primera C Metropolitana,4,4,ok,
Torneo Federal A,Argentina,Torneo_Federal_A,Torneo Federal A,3,3,ok,
Portuguese District Championships,Portugal,Portuguese_District_Championships,Portuguese District Championships,5,manual: top district division = Level 5,manual,District Championship
TFF 3. Lig,Turkey,TFF_3._Lig,TFF 3. Lig,4,4,ok,TFF Third League
Denizli Super Amateur League,Turkey,Super_Amateur_Leagues,Super Amateur Leagues,6,6,ok,
Ankara Amateur First Division,Turkey,Amateur_First_Division,Amateur First Division,7,7,ok,
NPSL,United States,National_Premier_Soccer_League,National Premier Soccer League,4,"manual: amateur, ~Level 4 (USASA)",manual,
Vierde Divisie,Netherlands,Vierde_Divisie,Vierde Divisie,5,5,ok,
Tweede Divisie,Netherlands,Tweede_Divisie,Tweede Divisie,3,3,ok,
Derde Divisie,Netherlands,Derde_Divisie,Derde Divisie,4,4,ok,
Azerbaijan Premier League,Azerbaijan,Azerbaijan_Premier_League,Azerbaijan Premier League,1,1,ok,
Championship,Indonesia,Championship_(Indonesia),Championship (Indonesia),2,[[Indonesian football league system|2]],ok,
Oberliga Baden-Württemberg,Germany,Oberliga_Baden-W%C3%BCrttemberg,Oberliga Baden-Württemberg,5,[[German football league system|Level 5]],ok,
